# proj, module, test, # tests selected (normal), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (ekstazi), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_E), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal
wildfly/wildfly,naming,org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testPermissions,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.InitialContextFactoryTestCase.testInitialFactory,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.InitialContextFactoryTestCase.testJavaContext,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListBindings,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testCreateSubcontext,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListBindingsNameNotFound,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListBindingsWithContinuation,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListNameNotFound,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testList,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListWithContinuation,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.895,0.3,18.595,100.37,82,100.00,Y,Y,18.629,0.293,18.336,98.96
