# proj, module, fic_sha, # tests selected (normal), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal, # tests selected (starts), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_S), % tests selected from normal, overall time, analysis time, detection time, % overall time from normal
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,a000cd2,310.20000000000000000000,100.00,122.16540000000000000000,0.00,122.16540000000000000000,100.00,89.60000000000000000000,28.79968497440846307087,37.58500000000000000000,.00240000000000000000,37.58260000000000000000,30.76611298386837231574,259.20000000000000000000,83.55671734144034560370,45.38080000000000000000,.03820000000000000000,45.34260000000000000000,37.14870251684946887256
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,c808c8e,308.20000000000000000000,100.00,121.77720000000000000000,0.00,121.77720000000000000000,100.00,130.20000000000000000000,42.13614086824140608415,39.76920000000000000000,.00240000000000000000,39.76680000000000000000,32.67053290947291788732,257.20000000000000000000,83.45055028445361648582,45.24580000000000000000,.03900000000000000000,45.20680000000000000000,37.16733298414736712774
fhoeben/hsac-fitnesse-fixtures,.,faff990,174.80000000000000000000,100.00,13.06020000000000000000,0.00,13.06020000000000000000,100.00,96.40000000000000000000,55.11655974083719748459,11.86420000000000000000,.00180000000000000000,11.86240000000000000000,90.84282016380608366805,109.80000000000000000000,62.79933938893476465730,11.96060000000000000000,.11740000000000000000,11.84320000000000000000,91.58385857921041722906
hexagonframework/spring-data-ebean,.,2d3515b,20.80000000000000000000,100.00,18.49180000000000000000,0.00,18.49180000000000000000,100.00,15.40000000000000000000,61.60714285714285714285,14.15620000000000000000,.00100000000000000000,14.15520000000000000000,76.30945540021786861934,18.20000000000000000000,80.00000000000000000000,14.52880000000000000000,.00540000000000000000,14.52340000000000000000,78.27972766664059612127
kevinsawicki/http-request,lib,cb9e021,150.40000000000000000000,100.00,12.48120000000000000000,0.00,12.48120000000000000000,100.00,120.00000000000000000000,79.73333333333333333333,9.31220000000000000000,.00160000000000000000,9.31060000000000000000,73.99940165941398405041,120.40000000000000000000,80.00000000000000000000,9.20060000000000000000,.01320000000000000000,9.18740000000000000000,73.10016307073759552633
ktuukkan/marine-api,.,3d8dff0,716.40000000000000000000,100.00,18.26720000000000000000,0.00,18.26720000000000000000,100.00,15.80000000000000000000,2.19621680410878194611,4.54480000000000000000,.00160000000000000000,4.54320000000000000000,24.87789164188167682835,168.40000000000000000000,23.49156699881569002421,12.29700000000000000000,.02140000000000000000,12.27560000000000000000,67.32237286890267078843
ktuukkan/marine-api,.,b4afeed,693.60000000000000000000,100.00,17.71440000000000000000,0.00,17.71440000000000000000,100.00,161.60000000000000000000,23.28446000260733625812,9.59680000000000000000,.00180000000000000000,9.59500000000000000000,54.38475608440027456717,222.40000000000000000000,32.05361931479602718820,11.41140000000000000000,.02160000000000000000,11.38980000000000000000,64.52947178190276242865
openpojo/openpojo,.,2ab65a5,1156.20000000000000000000,100.00,337.95460000000000000000,0.00,337.95460000000000000000,100.00,681.40000000000000000000,58.92793377455715622971,253.37780000000000000000,.00260000000000000000,253.37520000000000000000,74.97598034561605800014,1127.40000000000000000000,97.50918884000801500121,335.87520000000000000000,.09680000000000000000,335.77840000000000000000,99.38405126473264041776
openpojo/openpojo,.,4d69e2c,1117.60000000000000000000,100.00,323.45880000000000000000,0.00,323.45880000000000000000,100.00,875.20000000000000000000,78.28467747468850057664,257.91000000000000000000,.00320000000000000000,257.90680000000000000000,79.63233057459517603619,877.60000000000000000000,78.49909279035243800456,257.56700000000000000000,.09080000000000000000,257.47620000000000000000,79.52672681089324666376
openpojo/openpojo,.,92186a6,1052.40000000000000000000,100.00,48.74940000000000000000,0.00,48.74940000000000000000,100.00,431.20000000000000000000,40.98480530443503293626,28.21860000000000000000,.00220000000000000000,28.21640000000000000000,54.83326299620425684758,1024.40000000000000000000,97.33941313554736257313,47.40520000000000000000,.07960000000000000000,47.32560000000000000000,97.36791673431762338657
