# proj, module, test, # tests selected (normal), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (starts), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_S), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal
wildfly/wildfly,naming,org.jboss.as.naming.WritableServiceBasedNamingStoreTestCase.testPermissions,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.InitialContextFactoryTestCase.testInitialFactory,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.InitialContextFactoryTestCase.testJavaContext,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListBindings,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testCreateSubcontext,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListBindingsNameNotFound,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListBindingsWithContinuation,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListNameNotFound,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testList,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
wildfly/wildfly,naming,org.jboss.as.naming.NamingContextTestCase.testListWithContinuation,82,100.00,Y,Y,18.824,0.00,18.824,100.00,82,100.00,Y,Y,18.697,0.001,18.696,99.32,82,100.00,Y,Y,18.744,0.029,18.715,99.57
